url,titre,auteur,date,sitename,type_doc,source_type,word_count,video_url
https://www.bfmtv.com/police-justice/affaire-valerie-bacot-qu-est-ce-que-le-syndrome-de-la-femme-battue_AN-202106290501.html,"Affaire Valérie Bacot: qu'est-ce que le ""syndrome de la femme battue""?",Ambre Lepoivre,2021-06-29,,article,,564,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/direct-valerie-bacot-mon-pere-ne-me-manque-pas-affirme-l-un-des-fils-de-la-femme-victime-de-violences-conjugales-2148997.html,"Valérie Bacot : le mari violent, une victime que personne ne regrette",Gaël Simon,2021-06-23,,article,,3488,
https://www.lejsl.com/faits-divers-justice/2021/06/18/comment-l-affaire-valerie-bacot-est-devenue-un-sujet-national,Justice. Comment l’affaire Valérie Bacot est devenue un sujet national,Richard MONTAVON,2021-06-18,,article,,178,
https://www.la-croix.com/mere-Valerie-Bacot-parle-amour-mari-proxenete-2021-06-23-1301162763,"La mère de Valérie Bacot parle d'""amour"" avec son mari proxénète",Afp Modifié Le,2021-06-23,,article,,475,
https://www.lejsl.com/faits-divers-justice/2024/11/30/faites-entrer-l-accuse-ce-dimanche-que-devient-valerie-bacot,Saône-et-Loire. “Faites entrer l’accusé” ce dimanche : que devient Valérie Bacot ?,Richard Montavon,2024-11-30,,article,,216,
https://www.lejsl.com/faits-divers-justice/2021/06/25/faits-divers-justice-2021-06-25,"En direct. Pas d'incarcération requise contre Valérie Bacot, la défense plaide l'acquittement",Jim GASSMANN,2021-06-25,,article,,4935,
https://www.bfmtv.com/police-justice/proces-de-valerie-bacot-elle-n-avait-d-autre-echappatoire-que-de-tuer-son-mari-proxenete-selon-des-experts_AD-202106240373.html,"Procès de Valérie Bacot: elle n'avait d'autre ""échappatoire"" que de tuer son mari proxénète, selon des...",AL,2021-06-24,,article,,450,
https://www.tf1info.fr/justice-faits-divers/video-proces-de-valerie-bacot-un-verdict-qui-fera-date-2189917.html,Procès de Valérie Bacot : un verdict qui fera date | TF1 Info,La rédaction de TF,2021-06-26,,article,,229,
https://www.lejsl.com/societe/2023/09/20/valerie-bacot-decoree-de-la-medaille-de-la-delegation-aux-droits-des-femmes,Saône-et-Loire. Valérie Bacot décorée de la médaille de la délégation aux droits des femmes,T J,2023-09-20,,article,,243,
https://www.sudouest.fr/proces-de-valerie-bacot-les-enfants-defendent-leur-mere-3874367.php,"Procès de Valérie Bacot, qui a tué son mari bourreau : les enfants défendent leur mère",Sudouest fr,2021-06-22,,article,,349,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/valerie-bacot-les-10-personnalites-phares-du-proces-2152939.html,Valérie Bacot : les 10 personnalités phares du procès,Gaël Simon,2021-06-26,,article,,2044,
https://www.lejsl.com/faits-divers-justice/2021/01/08/une-petition-en-faveur-de-valerie-bacot-depasse-les-55-000-signatures-en-moins-d-une-semaine,Crime de La Clayette. Une pétition en faveur de Valérie Bacot dépasse les 55 000 signatures en moins d'une semaine,Le Journal de Saône et Loire,2021-01-08,,article,,303,
https://www.cesoirtv.com/news/actu/420-valerie-bacot-que-devient-celle-qui-a-ete-reconnue-coupable-du-meurtre-de-son-mari-daniel-polette-mais-qui-est-sortie-libre-de-son-proces/,Valérie Bacot : Que devient celle qui a été reconnue coupable du meurtre de son mari Daniel Polette mais qui est sortie libre de son procès ? - TV Grandes chaînes,Thomas Fourcroy,2025-11-23,,article,,518,
https://www.elle.fr/Societe/News/Valerie-Bacot-liberee-a-la-fin-de-son-proces-loin-des-passions-outragees-3933985,"Valérie Bacot libre à la fin de son procès, loin des passions outragées - Elle",Catherine Robin,2021-06-26,,article,,212,
